Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,DCS,DCS Polarity,Tx Power,Skip,Step,Attenuator,Clock Shift,Half Dev,Bank_1,Bank_2,Bank_3,Bank_4,Bank_5,Bank_6,Bank_7,Bank_8,Bank_9,Bank_10,Bank_11,Bank_12,Bank_13,Bank_14,Bank_15,Bank_16,Bank_17,Bank_18,Bank_19,Bank_20,Bank_21,Bank_22,Bank_23,Bank_24,Comment,User CTCSS,S-Meter Squelch,Bell,AMS, ,RX DGID,TX DGID
36,430.075,431.675,1.60 MHz,Plus,FM,Mondovi,Tone,82.5 Hz,23,RN-TN,High (5 W),Off,25 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,36,0,0
37,430.4,435.4,5.00 MHz,Plus,FM,Ormea,Tone,110.9 Hz,23,RN-TN,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,1600 Hz,Off,Off,On,37,0,0
38,145.75,145.15,600 kHz,Minus,FM,Bagnolo V,Tone,82.5 Hz,23,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,38,0,0
39,430.6,435.6,5.00 MHz,Plus,FM,Bagnolo U,Tone,127.3 Hz,23,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,39,0,0
40,145.7875,145.1875,600 kHz,Minus,FM,Neviglie 1,,100.0 Hz,23,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,40,0,0
41,145.575,144.975,600 kHz,Minus,FM,Neviglie 2,Tone,82.5 Hz,23,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,41,0,0
42,145.4875,144.8875,600 kHz,Minus,FM,Paroldo,Tone,82.5 Hz,23,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,42,0,0
43,145.625,145.025,600 kHz,Minus,FM,Mombarcaro,Tone,82.5 Hz,23,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,43,0,0
44,430.05,435.05,5.00 MHz,Plus,FM,Malanotte,Tone,82.5 Hz,23,RN-TN,High (5 W),Off,25 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,44,0,0
45,145.5625,145.5625, ,Simplex,FM,Fusion,,100.0 Hz,23,RN-TN,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,1600 Hz,Off,Off,On,45,0,0
46,144.15,144.15, ,Simplex,FM,Diretta0,,123.0 Hz,71,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,46,0,0
47,145.3,145.3, ,Simplex,FM,Diretta1,,123.0 Hz,71,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,47,0,0
48,145.325,145.325, ,Simplex,FM,Diretta2,,123.0 Hz,71,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,48,0,0
49,145.35,145.35, ,Simplex,FM,Diretta3,,100.0 Hz,23,RN-TN,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,1600 Hz,Off,Off,On,49,0,0
50,430.35,435.35,5.00 MHz,Plus,FM,TO-BRI,Tone,82.5 Hz,23,RN-TN,High (5 W),Off,25 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,50,0,0
51,432.75,432.75, ,Simplex,FM,TO-DGK,,100.0 Hz,23,RN-TN,High (5 W),Off,25 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,51,0,0
52,430.6125,435.6125,5.00 MHz,Plus,FM,IR1DT,Tone,82.5 Hz,23,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,52,0,0
53,430.5375,435.5375,5.00 MHz,Plus,FM,Nizza M. U,,100.0 Hz,23,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,53,0,0
54,145.7125,145.1125,600 kHz,Minus,FM,Nizza M. V,Tone,85.4 Hz,23,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,54,0,0
55,430.0125,435.0125,5.00 MHz,Plus,FM,PONZON,,100.0 Hz,23,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,55,0,0
56,145.7625,145.1625,600 kHz,Minus,FM,Mottarone 1,Tone,127.3 Hz,23,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,56,0,0
57,145.6125,145.0125,600 kHz,Minus,FM,Mottarone 2,Tone,127.3 Hz,23,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,57,0,0
58,145.3375,145.3375, ,Simplex,FM,Novara,,100.0 Hz,23,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,58,0,0
59,430.5,435.5,5.00 MHz,Plus,FM,TO Giaveno EL,Tone,82.5 Hz,23,RN-TN,High (5 W),Off,25 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,59,0,0
60,430.3125,431.9125,1.60 MHz,Plus,FM,Magenta,Tone,71.9 Hz,23,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,60,0,0
61,446.00625,446.00625, ,Simplex,FM,PMR1,,100.0 Hz,23,RN-TN,High (5 W),Off,6.25 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,61,0,0
62,446.01875,446.01875, ,Simplex,FM,PMR2,,100.0 Hz,23,RN-TN,High (5 W),Off,6.25 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,62,0,0
63,446.03125,446.03125, ,Simplex,FM,PMR3,,100.0 Hz,23,RN-TN,High (5 W),Off,6.25 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,63,0,0
64,446.04375,446.04375, ,Simplex,FM,PMR4,,100.0 Hz,23,RN-TN,High (5 W),Off,6.25 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,64,0,0
65,446.05625,446.05625, ,Simplex,FM,PMR5,,100.0 Hz,23,RN-TN,High (5 W),Off,6.25 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,65,0,0
66,446.06875,446.06875, ,Simplex,FM,PMR6,,100.0 Hz,23,RN-TN,High (5 W),Off,6.25 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,66,0,0
67,446.08125,446.08125, ,Simplex,FM,PMR7,,100.0 Hz,23,RN-TN,High (5 W),Off,6.25 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,67,0,0
68,446.09375,446.09375, ,Simplex,FM,PMR8,,100.0 Hz,23,RN-TN,High (5 W),Off,6.25 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,68,0,0
69,126.75,126.75, ,Simplex,FM,MXP1,,67.0 Hz,23,RN-TN,High (5 W),Off,25 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,Off,69,0,0
70,126.05,126.05, ,Simplex,FM,MXP2,,67.0 Hz,23,RN-TN,High (5 W),Off,25 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,Off,70,0,0
71,144.8,144.8, ,Simplex,FM,APRS-V,,100.0 Hz,23,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,1500 Hz,Off,Off,On,71,0,0
72,432.5,432.5, ,Simplex,FM,APRS-U,,100.0 Hz,23,RN-TN,High (5 W),Off,25 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,1500 Hz,Off,Off,On,72,0,0
73,145.8,145.2,600 kHz,Minus,FM,ISS-CREW,,67.0 Hz,23,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,1500 Hz,Off,Off,On,73,0,0
74,145.825,145.825, ,Simplex,FM,APRS-ISS,,67.0 Hz,23,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,1500 Hz,Off,Off,On,74,0,0
75,146.0,146.0, ,Simplex,FM,ISS-UL,Tone,67.0 Hz,23,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,1500 Hz,Off,Off,On,75,0,0
76,437.8,437.8, ,Simplex,FM,ISS-DL,,100.0 Hz,23,RN-TN,High (5 W),Off,25 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,1500 Hz,Off,Off,On,76,0,0
77,430.075,431.675,1.6 MHz,Plus,FM,CN_Mondovi__1RU3,Tone,82.5 Hz,23,RN-TN,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Python script by iz1vcx,300 Hz,Off,Off,On,77,0,0
